Enrollment Cnt,Instructor Name,Average Grade,Grade Nm
13,Ingileif Hallgrimsdottir,4,A+ 
18,Fletcher Ibser,4,A+ 
43,Ingileif Hallgrimsdottir,4,A 
19,Fletcher Ibser,4,A 
16,Ingileif Hallgrimsdottir,3.7,A- 
23,Fletcher Ibser,3.7,A- 
18,Ingileif Hallgrimsdottir,3.3,B+ 
12,Fletcher Ibser,3.3,B+ 
14,Ingileif Hallgrimsdottir,3,B 
18,Fletcher Ibser,3,B 
5,Ingileif Hallgrimsdottir,2.7,B- 
15,Fletcher Ibser,2.7,B- 
6,Ingileif Hallgrimsdottir,2.3,C+ 
9,Fletcher Ibser,2.3,C+ 
5,Ingileif Hallgrimsdottir,2,C 
6,Fletcher Ibser,2,C 
2,Fletcher Ibser,1.7,C- 
3,Ingileif Hallgrimsdottir,1,D 
1,Ingileif Hallgrimsdottir,0,F 
1,Fletcher Ibser,0,F 
