Enrollment Cnt,Instructor Name,Average Grade,Grade Nm
3,Deborah Nolan,4,A+ 
26,Ingileif Hallgrimsdottir,4,A+ 
24,Deborah Nolan,4,A 
27,Ingileif Hallgrimsdottir,4,A 
27,Deborah Nolan,3.7,A- 
16,Ingileif Hallgrimsdottir,3.7,A- 
22,Deborah Nolan,3.3,B+ 
8,Ingileif Hallgrimsdottir,3.3,B+ 
18,Deborah Nolan,3,B 
12,Ingileif Hallgrimsdottir,3,B 
6,Deborah Nolan,2.7,B- 
7,Ingileif Hallgrimsdottir,2.7,B- 
1,Deborah Nolan,2.3,C+ 
2,Ingileif Hallgrimsdottir,2.3,C+ 
4,Deborah Nolan,2,C 
8,Ingileif Hallgrimsdottir,2,C 
3,Deborah Nolan,1.7,C- 
1,Ingileif Hallgrimsdottir,1.7,C- 
2,Ingileif Hallgrimsdottir,1,D 
2,Deborah Nolan,0,F 
5,Ingileif Hallgrimsdottir,0,F 
