ï»¿Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,13,,,87537,Deborah Nolan,4,Statistics,133,2,A,Letter Grade,A+,Computing Data
2,12,,,87537,Deborah Nolan,4,Statistics,133,2,A,Letter Grade,A,Computing Data
3,14,,,87537,Deborah Nolan,3.7,Statistics,133,2,A,Letter Grade,A-,Computing Data
4,21,,,87537,Deborah Nolan,3.3,Statistics,133,2,B,Letter Grade,B+,Computing Data
5,4,,,87537,Deborah Nolan,3,Statistics,133,2,B,Letter Grade,B,Computing Data
6,6,,,87537,Deborah Nolan,2.7,Statistics,133,2,B,Letter Grade,B-,Computing Data
7,1,,,87537,Deborah Nolan,2.3,Statistics,133,2,C,Letter Grade,C+,Computing Data
9,1,,,87537,Deborah Nolan,1.7,Statistics,133,2,C,Letter Grade,C-,Computing Data
11,1,,,87537,Deborah Nolan,1,Statistics,133,2,D,Letter Grade,D,Computing Data
13,1,,,87537,Deborah Nolan,0,Statistics,133,2,F,Letter Grade,F,Computing Data
22,4,,,87537,Deborah Nolan,,Statistics,133,2,Credit,Non-Letter Grade,Pass,Computing Data
27,1,,,87537,Deborah Nolan,,Statistics,133,2,No Credit,Non-Letter Grade,Not Pass,Computing Data
1,5,,,87534,Fletcher Ibser,4,Statistics,133,1,A,Letter Grade,A+,Computing Data
2,12,,,87534,Fletcher Ibser,4,Statistics,133,1,A,Letter Grade,A,Computing Data
3,13,,,87534,Fletcher Ibser,3.7,Statistics,133,1,A,Letter Grade,A-,Computing Data
4,9,,,87534,Fletcher Ibser,3.3,Statistics,133,1,B,Letter Grade,B+,Computing Data
5,10,,,87534,Fletcher Ibser,3,Statistics,133,1,B,Letter Grade,B,Computing Data
6,8,,,87534,Fletcher Ibser,2.7,Statistics,133,1,B,Letter Grade,B-,Computing Data
7,6,,,87534,Fletcher Ibser,2.3,Statistics,133,1,C,Letter Grade,C+,Computing Data
8,4,,,87534,Fletcher Ibser,2,Statistics,133,1,C,Letter Grade,C,Computing Data
9,1,,,87534,Fletcher Ibser,1.7,Statistics,133,1,C,Letter Grade,C-,Computing Data
11,1,,,87534,Fletcher Ibser,1,Statistics,133,1,D,Letter Grade,D,Computing Data
13,1,,,87534,Fletcher Ibser,0,Statistics,133,1,F,Letter Grade,F,Computing Data
22,5,,,87534,Fletcher Ibser,,Statistics,133,1,Credit,Non-Letter Grade,Pass,Computing Data
27,5,,,87534,Fletcher Ibser,,Statistics,133,1,No Credit,Non-Letter Grade,Not Pass,Computing Data
