Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,27,,,87531,Philip Spector,4,Statistics,133,001,A,Letter Grade,A,Computing Data
4,9,,,87531,Philip Spector,3.3,Statistics,133,001,B,Letter Grade,B+,Computing Data
5,23,,,87531,Philip Spector,3,Statistics,133,001,B,Letter Grade,B,Computing Data
6,1,,,87531,Philip Spector,2.7,Statistics,133,001,B,Letter Grade,B-,Computing Data
7,4,,,87531,Philip Spector,2.3,Statistics,133,001,C,Letter Grade,C+,Computing Data
8,4,,,87531,Philip Spector,2,Statistics,133,001,C,Letter Grade,C,Computing Data
9,1,,,87531,Philip Spector,1.7,Statistics,133,001,C,Letter Grade,C-,Computing Data
11,4,,,87531,Philip Spector,1,Statistics,133,001,D,Letter Grade,D,Computing Data
12,1,,,87531,Philip Spector,0.7,Statistics,133,001,D,Letter Grade,D-,Computing Data
22,3,,,87531,Philip Spector,,Statistics,133,001,Credit,Non-Letter Grade,Pass,Computing Data
27,2,,,87531,Philip Spector,,Statistics,133,001,No Credit,Non-Letter Grade,Not Pass,Computing Data
